2017-04-07 09:02:29.611 INFO  com.html.service.HtmlService - action--->login;jsessionid=F7EF3C3E8749A74AA69E9497BA51DA6B
2017-04-07 09:02:29.624 INFO  com.html.service.HtmlService - lt--->_c9DF040B2-51C1-5CCE-C9B5-4844DB304ED1_k31C01B33-6DFC-DC54-FDC5-D1FDE84031C4
2017-04-07 09:02:29.625 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:29.679 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:29.685 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:31.268 INFO  com.html.service.Tess4jCode - 识别图片的结果：[MMN4]
2017-04-07 09:02:31.459 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[MMN4],JSESSIONID的值:[F7EF3C3E8749A74AA69E9497BA51DA6B]
2017-04-07 09:02:36.301 INFO  com.html.service.HtmlService - JSESSIONID--->AB3209C8B923DB7F361D855E8748251A
2017-04-07 09:02:36.718 INFO  com.html.service.HtmlService - action--->login;jsessionid=AB3209C8B923DB7F361D855E8748251A
2017-04-07 09:02:36.726 INFO  com.html.service.HtmlService - lt--->_c38FAA8EB-255C-8559-E55B-AAD04AF26307_k55B1150D-DE7D-E913-4061-57296DD68F9C
2017-04-07 09:02:36.727 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:02:36.738 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 09:02:36.742 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 09:02:37.917 INFO  com.html.service.Tess4jCode - 识别图片的结果：[DLGB]
2017-04-07 09:02:38.057 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[DLGB],JSESSIONID的值:[AB3209C8B923DB7F361D855E8748251A]
2017-04-07 09:02:45.598 INFO  com.html.service.HtmlService - JSESSIONID--->3DFD14363F2356775EEED8ACB855AD29
2017-04-07 09:02:45.838 INFO  com.html.service.HtmlService - action--->login;jsessionid=3DFD14363F2356775EEED8ACB855AD29
2017-04-07 09:02:45.847 INFO  com.html.service.HtmlService - lt--->_cAB702195-F138-623A-E25A-A10ED8BC96D9_k4BEA3BD4-B2C3-6A55-A552-E471A445D8B8
2017-04-07 09:02:45.848 INFO  com.html.service.HtmlService - _eventId--->submit
